1.59E+18,新型冠状病毒肺炎,Disease,Transmission_Route,,经呼吸道飞沫,,0,新型冠状病毒肺炎诊疗方案（试行第八版）
1.59E+18,新型冠状病毒肺炎,Disease,Transmission_Route,,密切接触传播,,0,新型冠状病毒肺炎诊疗方案（试行第八版）
1.59E+18,新型冠状病毒肺炎,Disease,Transmission_Route,,气溶胶传播,,0,新型冠状病毒肺炎诊疗方案（试行第八版）
1.59E+18,新型冠状病毒肺炎,Disease,Latency,,1-14天，多为3-7天,,0,新型冠状病毒肺炎诊疗方案（试行第八版）
1.60E+18,疑似新型冠状病毒肺炎诊断标准,DiagnosticPlan,Epidemiological_History,,发病前14天内有病例报告社区的旅行史或居住史,,0,新型冠状病毒肺炎诊疗方案（试行第八版）
1.60E+18,疑似新型冠状病毒肺炎诊断标准,DiagnosticPlan,Epidemiological_History,,发病前14天内与新型冠状病毒感染的患者或无症状感染者有接触史,,0,新型冠状病毒肺炎诊疗方案（试行第八版）
1.60E+18,疑似新型冠状病毒肺炎诊断标准,DiagnosticPlan,Epidemiological_History,,发病前14天内曾接触过来自有病例报告社区的发热或有呼吸道症状的患者,,0,新型冠状病毒肺炎诊疗方案（试行第八版）
1.60E+18,疑似新型冠状病毒肺炎诊断标准,DiagnosticPlan,Epidemiological_History,,聚集性发病(2周内在小范围如家庭、办公室、学校班级等场所，出现2例及以上发热和/或呼吸道症状的病例),,0,新型冠状病毒肺炎诊疗方案（试行第八版）
1.60E+18,疑似新型冠状病毒肺炎诊断标准,DiagnosticPlan,Clinical_Manifestations,,发热和(或)呼吸道症状等新冠肺炎相关临床表现,,0,新型冠状病毒肺炎诊疗方案（试行第八版）
1.60E+18,疑似新型冠状病毒肺炎诊断标准,DiagnosticPlan,Clinical_Manifestations,,具有上述新冠肺炎影像学特征,,0,新型冠状病毒肺炎诊疗方案（试行第八版）
1.60E+18,疑似新型冠状病毒肺炎诊断标准,DiagnosticPlan,Clinical_Manifestations,,发病早期白细胞总数正常或降低，淋巴细胞计数正常或减少,,0,新型冠状病毒肺炎诊疗方案（试行第八版）
1.60E+18,疑似新型冠状病毒肺炎诊断标准,DiagnosticPlan,Diagnostic_Logic,,结合下述流行病学史和临床表现综合分析，有流行病学史中的任何1条，且符合临床表现中任意2条。无明确流行病学史的，符合临床表现中任意2条，同时新型冠状病毒特异性IgM抗体阳性;或符合临床表现中的3条。,,0,新型冠状病毒肺炎诊疗方案（试行第八版）
1.60E+18,新型冠状病毒肺炎确诊标准,DiagnosticPlan,Clinical_Manifestations,,实时荧光RT-PCR检测新型冠状病毒核酸阳性,,0,新型冠状病毒肺炎诊疗方案（试行第八版）
1.60E+18,新型冠状病毒肺炎确诊标准,DiagnosticPlan,Clinical_Manifestations,,病毒基因测序，与已知的新型冠状病毒高度同源,,0,新型冠状病毒肺炎诊疗方案（试行第八版）
1.60E+18,新型冠状病毒肺炎确诊标准,DiagnosticPlan,Clinical_Manifestations,,新型冠状病毒特异性IgM抗体和IgG抗体阳性,,0,新型冠状病毒肺炎诊疗方案（试行第八版）
1.60E+18,新型冠状病毒肺炎确诊标准,DiagnosticPlan,Clinical_Manifestations,,新型冠状病毒特异性IgG抗体由阴性转为阳性或恢复期IgG抗体滴度较急性期呈4倍及以上升高,,0,新型冠状病毒肺炎诊疗方案（试行第八版）
1.60E+18,新型冠状病毒肺炎确诊标准,DiagnosticPlan,Diagnostic_Logic,,疑似病例同时具备以下病原学或血清学证据之一,,0,新型冠状病毒肺炎诊疗方案（试行第八版）
1.60E+18,轻型新型冠状病毒肺炎,Disease,Diagnostic_criteria,,临床症状轻微，影像学未见肺炎表现,,0,新型冠状病毒肺炎诊疗方案（试行第八版）
1.60E+18,普通型新型冠状病毒肺炎,Disease,Diagnostic_criteria,,发热,,0,新型冠状病毒肺炎诊疗方案（试行第八版）
1.60E+18,普通型新型冠状病毒肺炎,Disease,Diagnostic_criteria,,呼吸道症状,,0,新型冠状病毒肺炎诊疗方案（试行第八版）
1.60E+18,普通型新型冠状病毒肺炎,Disease,Diagnostic_criteria,,影像学可见肺炎表现,,0,新型冠状病毒肺炎诊疗方案（试行第八版）
1.60E+18,成人重型新型冠状病毒肺炎诊断标准,DiagnosticPlan,Clinical_Manifestations,,出现气促，RR≥30次/分,,0,新型冠状病毒肺炎诊疗方案（试行第八版）
